text,sarcasm,sentiment
think lattes improved since last review soy cappuccinos best ive ever fact never even cared trying tazza still hold teas high regard however food sucks theyve always limited sandwich menu point even reduced three choices sucker good veggie sandwich especially combination caffeine even though enricos easy walk home find either walking driving elsewhere caffeinated lunch experience guess trying keep focus brews dont think hard mean staff seems highly competent kitchen sandwiches pretty simple recipes follow learn new lunch joint hood park bruges not expand lunch options rather downgrade point forfeiting without even slightest struggle,non-sarcastic,neutral
maybe tazza doro doesnt need another review guess never hurts lend voice chorus praising good solid wellrun local business nnthe coffee selection terrific baristas professional courteous no not chatty polite friendly im not conversation good coffee thats get nnthe pastries snacks fine good variety nnthe atmosphere want need cup coffee relatively quiet comfortable calming nnwhen first opened long ago mobbed neighbors live highland park adopted private club often seemed peeved others stopped theyve either relaxed found obsessions clientele folks said eclectic invigorating nnits become afterdinner spot meal park bruges smiling banana leaf,non-sarcastic,positive
still one best places get soy capps no longer extensive tea list whats left not bad selection dramatically less choices no longer would go sample new varieties tea sandwich menu even severely limited seems pretty much food provided us foods like nothing local itd way cool would source pastries bread locally simply great place get coffee espresso nice vibes pleasant service,non-sarcastic,neutral
great variety coffee methods press chemex pourover not get chance try espresso looked good well verve olympia two solid roasters provide wealth choices nnstaff helpful location great around good place pittsburgh,sarcastic,positive
always meant visit enricos since friend recently moved neighborhood perfect opportunity cross listnnso heres liked cappuccino perfect awesome cappuccino topped cute foam art didnt like sometimes take cappuccino plain sometimes take shot syrup occassion asked could get amaretto syrup barista responded no cant said make cappuccino plain liked sweet could make something special would trust taste heres thingi dont like sweet dont much sweet tooth wanted tiny bit sweet didnt think trusting mystery concoction good idea got not big fan coffee shop snobbery fact guy seemed yuppie shown real cappuccino tasted like please lived italy ive real right want flavor shot still tipped wasnt sure barista general rule place offer make something different dont get deal herewhy even bother flavor syrups youre not allowed add drink nnits star cappuccino sure subtract star attitude,sarcastic,positive
best coffee might think better coffee elsewhere youre wrongnni love coffee shop second location gates building cmu like go panini die fornni love place,non-sarcastic,very positive
best coffee pittsburgh maybe place certainly competitive french press drip espresso pour name theyve got downside place limited food pastry selection coffee want place bit snobbish sure not nearly much many coffee shops pittsburgh,sarcastic,positive
quiet little nook highland park perfect tea coffee snacks getting work done catching old friend used frequent place much lived pittsburgh still make effort come back times year ambience great summer fall tables outside staff great prices reasonable change could think would put soft easy listening music itd make vibe little comfortable,sarcastic,positive
really hard find good cup coffee states id say best cappuccino ive since italy,non-sarcastic,very positive
went marathon hour bike ride right heading enricos first time last mile could think iced caffe mocha iced caffe mocha mention forgot water bottle ride desperate woman end onennso got home aired drove enricos since previous yelper mentioned best iced caffe mocha easy street parking right front really liked nestled middle neighborhood not loud crowded street tables large enough good work space folks laptops inside enjoying free wifi tables outside filled friendsnnso stars well iced caffe mocha bit subpar syrup bottom leaving first couple sips watery could better mix would give another try sure definitely ask nice hard shake iced caffe mocha taking coffee place walnut mall shadyside still favorite iced coffee year award try iced blended ghiradelli mocha shopping awesome,non-sarcastic,neutral
coffee ok service ambiance left much desired place dirty straw wrappers etc floor light fixtures modern considered cozy four people staff took least minutes one stop gossiping others take order got feeling place lot success owners let things slide ok looking coffee shop make regular hangout would not go back,non-sarcastic,negative
ordered double espresso looked like single shot cozy coffeeshop ample amount different types coffee available purchase drink beans take neighborhood coffeeshop type feel,non-sarcastic,neutral
adore place light green walls serene chairs tables comfortable love little brownies three kinds chocolate chips coffee perfectly smooth rich important thing get right im not masking taste burnt espresso mocha place provide cup coffee doesnt taste like give ulcer ill fan life pittsburgh place ive found coffee delicious commonplace coffee squirrel hill went college near chicago come california count intelligentsia blue bottle coffee favorite places mean say coffee wonderful try wont let,sarcastic,very positive
people work rude gone back times thinking may person working day rude person no happen every time not young hip person felt place like walking someones house bothering people working behind counter act like interfering conversation plus dirty perhaps people working try cleaning place instead talking not go back,non-sarcastic,very negative
best cafe pittsburgh like hidden gem sandwiches delicious must try chocolate chip brownie coffee great made exactly way like,sarcastic,positive
went guest friend mine member nice atmosphere lot folks seem market silver fitness sort fitness center may turnoff younger lot machines exercise gear pools tan etc nid probably prefer personally work somewhere younger crowd,non-sarcastic,neutral
not review gym review service called wanted know monthly fees simple right wrong want name phone number rights first born child wont even tell anything without physically coming talk whats best took psychology classes know trying talking face face sorry want gym not drug dealer dont need try shove products throat want go somewhere work left alone thats wear headphones dont make eye contact nni wish places like would give straight answer membership fees without hassling wont go period dont believe kind tactics straight people hard,sarcastic,negative
im gym guy go times week among workouts activities cardio equipment free target trader peek hours never old ladys come take parking spots thats not gyms one flat bench pools kids activities times kids wonder wight end pros nit picking gyms weirdos members take space workout oh well ya,non-sarcastic,positive
delicious wings sometimes bit deep fried taste really tasty flavors spices went allyoucaneat wings night sadly could barely finish first dozen beer selection much improved since post available choose,non-sarcastic,neutral
food okay wings bbq bar foods floor always super slippery doesnt matter wearing heels sneakers dont get floor like ice skating rink,non-sarcastic,negative
last week ive twice partially dont know better partially actually pretty good one places doesnt reek cigarettes never crowded open garage doors great fresh airnni tried buffalo boneless wings last night jack daniels sauce way better sharp edges sauce pretty mild still quite tasty youre not super wings eater get combo super cheap wash loose cannon beer pass beer pirate tap waitress little slow said first night makes new girl work friday night seemed gotten attentive fast towards end maybe wasnt hungry anymore didnt carennthe beer pricy tuesday night makers sour price pint beer,sarcastic,positive
front serves good pittsburgh sports bar particularly great place watch penguins spring open front wall lots hdtvs good selection beer nnthe food however bland terrible bbq even northeast would not come unless want watch game cannot see home,sarcastic,negative
ive quite times always try like cause theres lack good sports bars near pitt ton nice go always weird taste one beers get game got drink beer regularly something wrong beer definitely hard describe something always others party notice toonnthe food hit miss got french onion soup last time good nothing ground breaking solid soup ive pork nachos blah,non-sarcastic,negative
pretty good bar food conveniently located fun atmosphere,non-sarcastic,neutral
found buffalo blues merely ok thought prices bit high size portions wings rather small actually liked wing sauces tried though red hot spicy garlic server friendly not terribly attentive nni would probably go allyoucaneat wings night would certainly get moneys worth quality food lots vegetarian options vegetarian party floored possibility every burger chicken sandwich made without meat meat products,non-sarcastic,negative
wednesday wing night ie eat face night eat unlimited wings choice various sauces several hours top brownie theyre quite goodnnive mostly wings blues like sauces burgers good well whatever make sure get sweet potato fries tip waitress especially name meg,non-sarcastic,neutral
wing night wednesdays cent price wings beer william penn tuesdays body not hurting badly next day buffalo blues eat wings ton sauces pair wings bring time plan ordering next selection wings come take quite bit time come dont think ever eaten food except wings pretty good downside place service really really slow,non-sarcastic,neutral
ate restaurant last night three dining companions decided sit bar area high table views ample number tvs beer list nice different beers tap nice selection bottles ended philly waitress telling preferred long trails porter served chilled glass tasted pretty good mennfor dinner attempted start ordering blues bbq pork nachos told not pork not able order point also told not veggie burgers well started chicken chili nachos pretty good covered real cheese opposed nacho cheese liking dinner decided lovely lisas salad since love blue cheese granny smith apples upon receiving salad dug chicken cooked nicely moist tender nice coating blue cheese salad however problem since no granny smith apples salad whenever waitress came back check us asked missing apples went kitchen came back told us promptly left not normally one complain feel like something could substituted apples told ordering could discounted salad none occurred sad happened rest salad pretty good left proverbial bitter taste mouthnnthe bottom line food generally good however leaving major part item told kitchen without rectification make think twice returning shame buffalo blues potential,sarcastic,negative
coworkers lunch friday afternoon pretty meh experience seated way back restaurantbar room didnt even know existed apparently buffalo blues bigger thought nice tables away main bar areanni went hot veggie sandwich sweet potato fries kind attempt healthy sweet potato fries werent bad good flaky crisp sandwich left something desired wasnt hot first id say slightly crumbly bread toasted cheese veggie ingredients cold leaving overall lukewarm effect sandwich hummus spread didnt taste much like hummus thick pastey instead smooth creamy wasnt lot exciting flavor really guess thats get trying order healthy nni wasnt much interested dont think worth anywhere near better darn good sandwich im paying also relatively small size dont huge appetite wasnt problem guess think sandwich either awesomely delicious big enough take half home buffalo blues particularly interested returning reason,sarcastic,negative
best thing buffalo blues revolves around sundays football season personally one best places catch nfl gameespecially youre not steelers fan given sunday youll find fans every team nfl taking game atmosphere positive one seating issue get early might end standing see particular game seating premium time games begin luckily tvs lots labeled days matchups finding game youre looking isnt problemnnthe draft beer selection usually something everyone local craft brews east end brewing seasonals simpler standards hello pbr youre beer person wont disappointednnas far service goes hitormiss ive mostly great service bar ive also average average service tables bigger sporting events primarily steelers games service even iffy due sheer volume people bar areannoverall rate food average love boneless wings wing sauces excellent pulled pork really tender delicious well sandwiches burgers simply average fries either really good soggy greasy think inconsistency quality cooking main issue menu reads really well raises expectations sometimes execution leave little disappointed never horrible youll rarely blown away mealnnin end im giving buffalo blues higher rating based experience sporting events lets face real draw sports bar far sports bars go favorite place catch game always get good crowd games whether sundays nfl season saturdays big college games pens games stick wings beer odds experience great theres good chance go find fans team youre outoftowner looking game crowd much accepting friendly relaxed crowds ive experience sports bars town average experiences revolved around nongame times try get traditional meal realize better options shadyside lunch dinner,non-sarcastic,neutral
went buffalo blues tonight second time not second time tonight second time life dinner drinks sum experience words times expected fine sports bar no no lessnnill start drinks good draft selection supposedly theyve got nice bottle list though didnt look cant judge happy hour special compliments well drinks pmpm plus east end drafts glass time though big hop east end choice dont know regular occurrence better something bartenders friendly quick serve qualities carried food service wellnnthe menu pretty good selection puby foods picked black bean corn quesadilla although end running low guacamole extra small cup sour cream small quibble meal overall good since got happy hour special cant complain one thing mention arent many vegetarian choices menu im not vegetarian try not eat much meat notice things youre vegetarian would try look menu beforehand sure theres something younni know havent said much negative buffalo blues review yet im still giving three stars kind place makes appreciate word versions ratings yelp gives us aok didnt know yelp describes threestar reviews exactly would describe buffalo blues comparison keep going head die hard not nearly good predecessor still something im fine popping every theres nothing better sum im not big sports guy buffalo blues though sports bar not place would sway go watch game friends ill still say kind playoff game watched big jims one best sportswatching experiences life judging sports bar didnt anything justify giving anything fine im sure ill go back happy hour sometime,non-sarcastic,neutral
died buffalo blues born really pittsburgh staple come onnnfood really really average love ribs wings rib place city charge arm leg place people feel real rib place dont want cross centre penn ave get real ribs technically shadyside mercedes safe nnthe ambiance restaurant always crowded not crowded packed teens underage drinking families many kids overflow space collage kids also spill bar loud hell forget nice quiet dinner seems no consideration customers last time st patricks day party not st patricks day took whole place though staff tried nah didnt really try keep called party room bumped several times spilled beer couldnt hear wife speak long got money could give crap oh like tvs interrupt conversation sit bar area good luck see mix drunk people women look like highend prostitutes college kids missing beer bong also loud hellnnthe wonderful staff seems like everyones first day put lightly staff suck sure waiting drinks food bill long time expect hours wait staff forgetful inattentive sloppy job pains leave tip staff hot stacked absolutely stupid working hooters not place bill upwards two people prepared met saying oh like ohmygod sorry forgot oh shes twisting finger hair shes talking get bad fact cant remember last time wait person actually wrote order theyre idiots no worriesnnthe food kinda good menu huge youll find something like go times year food way expensive not take date average bill meal actual proteins run high without booze many barfood places dont claim high class good place grew rib sauce love average consumer skip itnnthis place wannabe sports bar tries hard high end watch vomiting college kids trust everywhere,sarcastic,negative
food stars really not good especially entirety combination platter make chicken fingers wings blue cheese wasnt bad though wedge salad enormous like half head lettuce wedge nice fresh though nndrinks stars decent variety better expected place like game time stars could better could worse friendly unattentive not good realizing come table hint one person calls drink make sure rest us set running away nnatmosphere stars really good job enough televisions everyone see games marking know whats nn bonus star accommodating pittsburgh area buffalo bills fans go bills,sarcastic,positive
oh mighty fallen place used good something happened wings small dry generally bad since wings supposed thing pretty review makes sad great place drink beer watch game beer reasonably priced food expensive essentially live across street know ill go back hope poor reviews help turn things around kitchen,sarcastic,negative
good fun place watch games drinking eating chicken wings good selection wings decent beer try different kinds wings every time go far spicy garlic favorite typical sports bar,non-sarcastic,positive
good place watch sports game beer specials good food overpriced though wings worst ive ever ive alot wings growing buffalo ny,non-sarcastic,negative
worst service worst nonservice ever experienced since cant give zero stars im giving service one didnt eat anything cant comment food nnmy husband went buffalo blues last night stood empty hostess stand no one came seat us couldnt find anyone seat us seated figuring thats supposed donnthe bar full not packed two tables guests one empty plates table entire experience seemed like forever husband got find server literally walked around restaurant find someone couldnt tried ask bartender elusive finally found server acted totally shocked maybe someone job wouldnt surprised find hungry people restaurantnnshe came table got drinks soda water asked us ready order said no said would back could see chit chatting another server couldnt get attention come back take order another ten minutes waiting return put dollars table soda left ordered pizza local shop picked way minutes passed get drinks waste time took us minutes make drive waiting another get home thats hour evening completely wasted left us starving hard days work used work server could understand place busy staff short handed basically dead night table top wise never go back,non-sarcastic,very negative
food okay beer selection diverse good nnthe problem place buffalo bills fans congregate cheer every mediocre play football team makes almost makes like watching superbowl except losing record team stopping team third,non-sarcastic,neutral
hate place many times finally getting around writing review let state wife made go tonight friends wanted said need indulge interests even suck nnbuffalo blues like hooters except girls clothes not good looking service horrendous food may better hooters beer selection decent buffalo blues expensive often run things still friends like going eat wing night frankly dont get get wings front give wings time problem get wings minute intervals max could eat wings mention wings really tiny sauce tossed like jackson pollack painting also charge extra blue cheese ranch wings not come celery crime humanity city buffalo nni chose detour wings tonight ordered chicken sandwich apparently bad choice took full hour get food long rest table ate wings ordered waitress didnt think problem meal arrive everything cold sandwich ok fries tiny pieces limp flavorlessnni paid beer sandwich friends wait eat leave would say wont go back apparently like friends like good food service,non-sarcastic,very negative
went past saturday afternoon friends sat pretty much empty bar minutes no service bartender walked us times didnt even acknowledge walked saw bartender phone staff members standing back chatting went next door mad mex got much better service,non-sarcastic,very negative
loved hot vegetarian sandwich not easy find veggie dishes dont feel like compromise great excellent service waitress long black pony tail dont know last name nice casual atmosphere resonable prices,sarcastic,positive
lovehate relationship place nni love extremely close convenient im craving beer atmosphere sundays outstanding im giant steeler fan youll probably find fans teams buffalo blues gives fun exciting feel nfl sundays nnhowever hate believe alcohol food overpriced food wouldnt rub wrong way much thought worth price dont not even little bit thing found delicious wings however go almost bar get delicious cheaper wings not really much win also want handful beers games dont want empty pockets recommend going awhile mainly sundays beer two not worth much visit,sarcastic,negative
mixed feelings place ill say front ever go sundays football would never go reason bar know city reliably find every nfl game televised enjoy sunday youre not steelers fan pretty much every team represented crowd sundays disproportional number bills redskins fans crowd generally friendly many faces week weeknnthey tend wide selection beers rotates pretty regularly wide selection doesnt always mean good selection said sometimes get really great beers wouldnt expect find sports bar whatever dont order bloody mary theyre atrociously bad staff almost universally friendly exception one barback seems always bad mood rude customers often takes bartender later day sundays said wait staff dont seem know much food beers offered often new beers tap giving wrong information things menunnthe food mediocre overpriced two us go one game sunday drink beers order entruee generally end tab range depending drinking day city almost universally accommodating vegetarians place decidedly not veggie burger actually pretty good decent thing menu vegetarian eat also grilled cheese sandwich veggie sandwich bland point tasteless like eating plain bread entruee salads every one meat defining ingredient dont even beans could decent veggie nachos know sports bar dont want eat veggie burger every sunday weeks gets old absence new sports bar opening well back next season not,non-sarcastic,neutral
honest think one worst bars entire city food subpar even bar food service awful especially game enjoy good sports bar think thing hated place people frequent quintessential shadyside bar equipped bros went fraternity college jersey shore bimbos pine last time went two guys throwing outside bar sidewalk fully admit subjective review bar obviously not scene still not like place,non-sarcastic,very negative
unfortunately service given ruined overall experience buffalo blues sat put drink order husband excited amount beers tap fifteen minutes later still without drinks saw server trying hunt bartender bartender finally started working drinks realized keg beer husband ordered tapped sitting booths right next bar instead bartender telling us could make another decision get drinks soon possible waited waitress come back tell waitress came back not apologize simply said pick different beer one anyway long story short took way long get drinks never recognition staff issue restaurant seemed poorly managed subpar not back,non-sarcastic,very negative
would take advantage eat wings wednesday nnwe went regular sunday night even though wings tasty frugal self wouldve rather ayce tried variety sauces ordered wings every different flavor buffalo blues sauce ok signature bbq sauce also tried garlic parm honey teriyaki gold rush oknn boozy buffalo good drink consist smirnoff orange jose cuervo captain triple sec oj fresh squeezed lemon splash coke seriously felt fabulous one served mason jar nnlauren nice server even though table front us put bs ate food complained server asked manager complaining got wasnt ordered no idea waited every scrap food gone complain know youll kudos lauren keeping smile face,non-sarcastic,neutral
ive buffalo blues times happy hour met daughter last night happy hour specials advertised web site first clue no happy hour promos mentioned bar except wings not looking came close leaving beer draft list decided stay disappointed daughters choice already gone although still food awful service worse maybe busser clean table removing dirty table sticky mess service one beer table time next round saw two beers go threetop removed sent bar poured glasses refilled brought us someone elses food brought table fries came wing order never went got garlic parm wings tasted like old overcooked chicken way crispy greasy taste ate two told server didnt want offered take told wasnt necessary took price customer service gesture still happy hour bill eaten fries barely touched wings drafts total dirty table least place empty tables everywhere think done,sarcastic,very negative
goto place curing hangover dont know chinese buffets day long night round round trick also like come go grocery shopping nearby trader joes everybody knows bad idea go shopping food stuff empty favorites veggie lo mien string beans mac n cheese crab rangoon hot sour soup havent seen dan bing egg pancakes awhile world peanut sauce another thing miss creamed spinach yet see dish pittsburgh buffet go outside city staple among chines star got knocked lack fresh fruit dessert table canned pineapple mandarin oranges always carry metallic taste no comparison real thing,non-sarcastic,neutral
food good not exceptional nn ive restaurant occasionally couple years menu hasnt changed typical asian fare general tsos fried rice noodles stuffed shrimp dumplings also american macaroni cheese home fries ham nnwhen go china garden always request carry container find nauseating sit dining area see patrons pile plates astonishing heaps food one thing sure china garden gets plenty come reasonably priced buffet,non-sarcastic,neutral
ate right next gamestop google small booths ordered pepper steak w onion food fast fresh hot mine much onion not enough steak end meal eating onions rice though hear healthy counter lady cordial didnt reply customers told nice day awkward know english isnt first language needs catch people wishing well wasnt stuffed full either despite eaten large plate usually get feeling eating asian basically nice place go lunch wont ruin appetite dinner side note food clean brushed teeth hour w toms maine peppermint still minty fresh breath hour eating,non-sarcastic,neutral
location convenient not fan food shrimp chinese veggies crab rangoon cut veggies way big sauce bland wont go back food crab rangoon ok didnt give sauce ask sucks,non-sarcastic,negative
average chinese buffet food not bad not impressive neither plus cheap american food food little greasy even american chinese food standard stomach complained soon left place thats nogo hand seemed nonbuffet counter nextdoor perhaps food would better,non-sarcastic,negative
think stars accurate joint chicken quality meat lightly sautueed sauce blah nice place sit chinese food no local options nnits last resort chinese food area prices absurd,non-sarcastic,neutral
great cat working brands cat food expensive funny enough though not expensive looking followed around like going stuff pockets ruined whole mom pop thing,sarcastic,very negative
wonderful filled things keep trio cats wellfed certainly not big box store honestly wouldnt give pets food treats toys found stores really offers better selection actually want big box good selection toys cats takes bulk orders food within days saving us trouble schlepping burbs,sarcastic,very positive
dr eric segal complete ass rude obnoxious wife went adjustment left wanting adjust idiots face deter clients going personally make sure man doesnt disrespect anyone else like us,non-sarcastic,very negative
get new tires mounted balanced went pay guy register actually says something effect idea supposed cost could charge wouldnt know difference joking not even go,non-sarcastic,negative
made appointment completely forgot coming said could start car ten minutes done hour came back hour later see car spot said would take another two hours start work completely unhelpful unapologetic,non-sarcastic,very negative
came flat said couldnt repair tire cracking edges true cracks hairline cracks superficial diagnosis done examining exterior discovered not sufficient adequately judge cracking bad enoughyou actually take tire four tires light cracking therefore four tires would probably need replacing hmmm convenient even give benefit doubt tire cracking pricing tires ridiculous tires warranty would cost get replaced crap tires thats warranty credit applied oh wait could make deal inhouse tires even crappier know crappy looked online guess else found sets tires significantly cheaper according manufacturers website even including installation balancing disposal nnso no no thank dont want pay get cheap tires tire would hold air hours drove another place fixed flat no problem guess cracking wasnt bad,non-sarcastic,very negative
came diagnosis done car abs light nthey removed tires showed sensor abs work not perform diagnosis originally went told back wheel hubs replaced total new set breaks knew without charging labor ni may not know much cars know search internet ask advice found cost wheel hubs no car said cost labor nni also found sensors get soiled dirt salt time car needs simple wash undercarriage always car washed specially winter may save snnthis place rob work done place like homework,non-sarcastic,very negative
knew needed new tires alignment ordered tires ahead could inandout quickly possible make class showed noone ordered tires said theyd split difference different brand little irritated agreed thought going bad decision coming im town however pleasantly surprised service mechanics noticed cars bushings causing problems took awhile offered little extra discount much appreciated overall took hours front aligned bushings replaced two new tires oil still believe little pricey guys great definitely note overall difference car,non-sarcastic,neutral
took subaru outback annual state safety emissions inspections first charged service clearly posted service station wall secondly failed lug nut rusted point technicians could not get quoted get able accomplish bottle penetrating oil breaker bar nnwhen returned reinspection charged policy posted service wall clearly states get second inspection within days initially failing free charge time able get lug nut supposedly could not get back odd taken put back numerous times ensure okay pass quoted stating would replace wheel stud new wheel stud cost local parts store job hour without single power tool nnthis shop not following guidelines clearly posted wall fabricating problems effort overcharge simple repairs avoid shop,non-sarcastic,very negative
taken car times theres bus stop front convenient drop car get work happened never back cost money lost tires nnin march blew tire pothole naturally replaced two front tires second tire fine replace kept would spare another one blew put tires basement no problem saved rainy day nnthis week ran nail tire wasnt fixable get replaced luckily ive got spare called monro early morning see could get said would tomorrow earliest needed car took pep boys three hour turnaround also last time needed oil change said booked three days good lord nni drop car pep boys tell extra tire back call tell tire wrong size monro gave wrong tires back replaced march buy new tire perfectly good one god knows tire wrong size definitely didnt come car wouldnt fit rim nnafter paying tire pep boys went monro see would informed already new tire put couldnt anything next time came would work hell would come back screwed hundred bucks good tire not worth chancing couldnt fit within day get screwed nnif need tires go pep boys need oil change go midas penn circle theyll able get not wait three days,non-sarcastic,very negative
ah monro minutes actually hours running time post car lift no tires employees smoking cigarettes laughing cant even escape wanted least turned heat waiting room not like november pittsburgh anything,non-sarcastic,very negative
wish way hold corporation accountable crimes society,non-sarcastic,very negative
please go mcdonalds not far penn time using drivethru service realized forgot add item receipt asked much real total employee told like please use register tell much actual total,non-sarcastic,very negative
good altar bar didnt fries,non-sarcastic,neutral
prepare wowed nnhigh class dining one pittsburghs coming hip neighborhoods thought would try world famous cuisine pulled thursday evening garueon asked may try french fried potatoes greeted crackled mutter inched vehicle forward treated relaxing minute wait nobody moved line perhaps clientele minivan filled savvy locals perhaps professional waitstaff could hear laughing socializing window whatever dining experience filled culinary magic spalike service deep meditation realized perhaps tonight not best night sample fine delicacies pulled away cannot wait return location try luck trying elusive fries highly recommend palace excellence,sarcastic,very negative
important quality mechanic honesty meet tim walter take car walters know service good fast wont take chunk last paycheck calling ahead usually good idea fit,non-sarcastic,very positive
want echo everyone else already said mechanic brakes gave came upon glowing reviews walters gave call not tim fix car quickly inexpensively actually came pick wouldnt spend money tow truck hes also extremely friendly funny guy puts ease immediately ill going back without hesitation next time need anything done car,non-sarcastic,very positive
scenario get car head campus meeting sudden tire warning signal lights even though dont remember running anything get car carefully inspect tires feellook completely ok owning bmw years constant wheel issues ie tire warning signal lights usually means tires blow freaked frantically drove infiniti first auto shops baum blvd waited first stop minutes guy not get phone got back car drove pep boys mechanic outside smoking says need go service desk inside huge store deal first im thinking ugh no time class minutes im already late meeting drive past rd shop dont even see anyone sitting reception desk figure going take forever get im asking fornnthen remembered really positive experience walters decided drive end baum blvd find place boy glad soon got service coordinator told pull car around front mechanic could take look tires stopped told could stay car reassured tires ok proceeded inflate explaining signals might come charge within minutes love walters theyre not make money genuinely want help highly reccommend,sarcastic,very positive
great place take car everything inexpensive friendly knowledgeable theyve fixed tire taped broken hose temporarily done things no charge several times id definitely recommend,sarcastic,very positive
thought need alignment turns needed tire balance stopped go drove around block didnt cost thing tire balance warranty really nice guy,non-sarcastic,very positive
get new mechanic since recently moved worried lot vw thankfully found reviews yelp walters decided give shot nnrules walters plan least two weeks ahead appointment worth nnfrom dont worry anything particular car always fix suspension ended needing repair last year last year spent reasonable trustworthy mechanic using years home year walters quoted pretty blown away considering place go earth took time put tennis racquets trunk remove aftermarket stereo wouldnt seen explained everything thoroughly really friendly came pick car nni know lot cars mechanics since ive worked dealership honesty walters still amazes take car every time need get something done even get newer car warranty dealership,non-sarcastic,very positive
hands great experience called yesterday driver headlight car asked needed make appointment woman phone said stop right hours went morning small lot full sat car believe tim finished chatting another guy continued sat car couple minutes tim quickly inspected headlight unfortunately not replacement bulbs ordered right spot told come back time afternoon fast forward hours later popped popping hood going office pay headlight replaced friendly honest fair quick service no bs highly recommend walters automotive,sarcastic,very positive
older car sometimes things go wonky one night drop barely running no idea first time went walters turns oil changing problem car places usually screw know nothing cars walters not really great fix car needs yesterday returned inspection treated fairly mentioned things already knew needed work would recommend place anyone older car wants honest car repair man walters definitely getting business future,sarcastic,very positive
honest reliable trust goes beyond service came house x one day check everything could ended towing garage definitely go back,non-sarcastic,very positive
extremely honest great work amazing prices repair wheel issue car no charge mechanic also hid wires never got around moving dyi backup camera installed,sarcastic,very positive
kelly good idea poorly executed facility problems stairs house narrow causing trips bathrooms dont really capacity patrons facility get actual poorly executed idea staff extremely unknowledgeable subjects producing instance none programmers staff training performing arts visual arts people playing another field result dont even know really producing experienced person field tell nnthe sad part really try throw staff new ideas every opportunity dont expect great performances expect talked mediocre performance follows content dont content staff knowledgeable enough know better check back couple years apple green eat much less pay,sarcastic,negative
named pittsburgh greats gene kelly billy historic theater real gem originally regent built building renovated performing arts center theater dance music film several fundraisers hosted kelly always first rate also recently attended kelly fundraiser full bloom lots fun venue place definitely worth attention staff seems bend backward make sure events go without hitch,sarcastic,very positive
plays well tazza latte around corner quiche divine biscuits imagine mom would made actually made biscuits two words cannot wait return steel city partake desserts,non-sarcastic,very positive
place probably best pastries ive ever encountered treats consistently great amazing even mouth watering bakery quaint little place really cute nice baking decorations everything staff really friendly always helpful making hard selection cupcakes pieces heaven signature sandwiches world everything else leaves nothing desired keeps coming back frequently find someone accompany,sarcastic,very positive
arrived thursday afternoon pm absolutely no soul bakery except staff pumpkin pastry carmel topping alright also tried key lime cake sour cream apple cake key lime cake definitely best ive better bakeries definitely back heard stories wonder delight small seating area tables water dispenser diners,sarcastic,negative
sister husband went early dinner completely unplanned attracted quaint storefront purchased crispy elephant dessert sprinkled cinnamon sugar glorious bought piece sugar cake cream cheese frosting delicious moist also purchased freshly baked chocolate chip cookies absolutely rich scrumptious woman greeted us seemed like might owner sweet helpful great disposition probably favorite small bakery pittsburgh delightful,sarcastic,very positive
food glorious foooood hot sausage dont sell hot sausage mustard know nnthey amazing ham cheese sandwiches kinda pricy oh good want better get early weekend theyre small get least nnweve also tried nutella tart ive twice delicious fruit tart not bad cinnamon buns great jewish pizza ok not expecting kinda like fruitcake like dreaded holiday kind denser drier strata eggy bread dish pretty good key lime cake good quiche good nnseating hit miss since theres tables seat people seats people quieter morning able find seat serve coffee well nothing write home cup like coffee dessert like nice,sarcastic,very positive
came across place checking thai restaurant across street name intrigued family looked like adorable outside nni fell love instantly came back several times first discovering hidden gem walk wonderful smells overwhelm amazing way ambiance old style kitchen personally reminds one aunts kitchens gives homey feel comforting seating never saw bakeries prior one also serve coffee encourage take seat enjoy sweet treat nnthey offer unique array sweets definitely not typical bakery pies tortes mooses cookies cinnamon rolls grab hot commodity personal favorite key lime pie oh goodness amazing every time came thank goodness key lime cake phenomenal well fruit tarts incredible chocolate moose amazing lot items fresh fruit love nnmy critiques hours closed mondays sundays not ideal someone whose day typically sunday also write items thy case small chalkboard posted wall right case every time go find asking employees everything find little annoying regardless worth hidden gem going experiencing sweets real treat,sarcastic,very positive
ive wide range experiences lets say first moved one employees gave poor advice ended totally screwing title tremendous ordeal get fixed another employee tried help fix screwed im working third person seems competent committed helping solve problem even like cant believe people told thatthey made much harder needed thoughts barb knows stuff dont quite trust anybody else help properly also theyre open pretty much go work saturday going tomorrow car title saga finally comes parking free lot aaa member think fees lower something like aaa makes sense come cant say experience like non members,non-sarcastic,negative
say quick efficient stops car needs firstly walking building quite spectacle beautiful exterior interior honest first trip felt like taking escalator pit aaa equivalent taking trip fifth ring hell hate anything dealing dmv registration license tags blah blah blah however times stopped not crowded women helped nice thoughtful stations must go quick effective times business less half hour far better marathon nightmare expecting,sarcastic,positive
moved pgh san francisco every single dealing ive aaa since moved great straightforward super helpful people mostly quite brief wait times nnthe agent worked start whose name think heather long dark hair second desk left always willing spend much time needed understand buying andor process needed go car totaled couple years ago jagoff texting rearended ahem please dont phenomenal check full amount less weeknni see lot negative reviews services title related dont know people even aaa employees might dot know ive three title transactions including one car state went smoothly nnive aaa years lived california seriously considering switching not anymore,sarcastic,very positive
among best burgh great live acts regular basis,sarcastic,very positive
